============================================================
          光遇 15 键标准简谱 (音游伴侣网格量化引擎生成)
============================================================
曲目名称: 《义勇军进行曲-中华人民共和国国歌》 (ID: 12720)
编曲作者: 网络
演奏速度: 384 BPM | 节拍: 4/4 拍 | 网格细分: 16分音符 (39.1ms/槽)
音符总数: 423 个
生成时间: 2026-09-17 02:16:05

【琴键与简谱唱名对照】
  第一排 (低/中音): A1(1)  A2(2)  A3(3)  A4(4)  A5(5)
  第二排 (中/高音): B1(6)  B2(7)  B3(1') B4(2') B5(3')
  第三排 (高/倍高): C1(4') C2(5') C3(6') C4(7') C5(1'')
符号说明: '.' = 空拍/延音; 数字带点(') = 高音; [ ] = 和弦同时按压
============================================================

第 01 小节:  [11'1''] . . .  |  . . . .  |  . . . .  |  [33'] . . .
第 57 小节:  [133'] . . .  |  . . . .  |  . . . .  |  [1'1''] . . .
第 58 小节:  [1355'] . . .  |  . [55'] . .  |  . . . [55']  |  . . . .
第 59 小节:  [1353'] . . .  |  . . . .  |  . . . .  |  . . . .
第 60 小节:  [1351'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 61 小节:  [2575'] . . .  |  . . . .  |  . . . .  |  . . . .
第 62 小节:  [1351'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 63 小节:  [133'] . . .  |  . . . .  |  . . . .  |  [1'1''] . . .
第 64 小节:  [1355'] . . .  |  . [55'] . .  |  . . . [55']  |  . . . .
第 65 小节:  [1353'] . . .  |  . . . .  |  . . . .  |  . . . .
第 66 小节:  [1351'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 67 小节:  [155'] . . .  |  . . . .  |  7 . . .  |  . . . .
第 68 小节:  [61'1''] . . .  |  . . . .  |  5 . . .  |  . . . .
第 69 小节:  [155'] . . .  |  . . . .  |  7 . . .  |  . . . .
第 70 小节:  [61'1''] . . .  |  . . . .  |  5 . . .  |  . . . .
第 71 小节:  [155'] . . .  |  . . . .  |  7 . . .  |  . . . .
第 72 小节:  [61'1''] . . .  |  . . . .  |  5 . . .  |  . . . .
第 73 小节:  [11'3'5'1''] . . .  |  . . . .  |  . . . .  |  . . . .

============================================================
                    简谱生成完毕，祝演奏愉快！
============================================================
