============================================================
          光遇 15 键标准简谱 (音游伴侣网格量化引擎生成)
============================================================
曲目名称: 《This is what sadness feels like》 (ID: 39211)
编曲作者: /
演奏速度: 630 BPM | 节拍: 4/4 拍 | 网格细分: 16分音符 (23.8ms/槽)
音符总数: 486 个
生成时间: 2026-09-16 06:10:02

【琴键与简谱唱名对照】
  第一排 (低/中音): A1(1)  A2(2)  A3(3)  A4(4)  A5(5)
  第二排 (中/高音): B1(6)  B2(7)  B3(1') B4(2') B5(3')
  第三排 (高/倍高): C1(4') C2(5') C3(6') C4(7') C5(1'')
符号说明: '.' = 空拍/延音; 数字带点(') = 高音; [ ] = 和弦同时按压
============================================================

第 01 小节:  6 . . .  |  . . . .  |  . . . .  |  . 3 . .
第 32 小节:  . . . .  |  . [11'] . .  |  . . . [35]  |  . . . .
第 33 小节:  . . [11'] .  |  . . . .  |  . [32'] . .  |  . . . .
第 34 小节:  [53'] . . .  |  . . [34'] .  |  . . . .  |  . . . .
第 35 小节:  . . . .  |  5' . . .  |  . . . .  |  . . . .
第 36 小节:  . . . .  |  . 6' . .  |  . . . .  |  . . . .
第 37 小节:  . . . .  |  . 7' . .  |  . . . .  |  . . . .
第 38 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 39 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 40 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 41 小节:  . . . .  |  . . . .  |  . . . .  |  [66'] . . .
第 42 小节:  . . . .  |  . . . .  |  . 1' . .  |  . . . .
第 43 小节:  3' . . .  |  . . . 1'  |  . . . .  |  . 6 . .
第 44 小节:  . . . .  |  6' . . .  |  . . . .  |  . . . .
第 45 小节:  . . 1' .  |  . . . .  |  3' . . .  |  . . . 1'
第 46 小节:  . . . .  |  . . 6 .  |  . . . .  |  . [57'] . .
第 47 小节:  . . . .  |  . . . .  |  . . 1' .  |  . . . .
第 48 小节:  . 3' . .  |  . . . 1'  |  . . . .  |  . . 5 .
第 49 小节:  . . . .  |  . 7' . .  |  . . . .  |  . . . .
第 50 小节:  . . [1'1''] .  |  . . . .  |  . 3' . .  |  . . . .
第 51 小节:  [57'] . . .  |  . . 1' .  |  . . . .  |  . [46'] . .
第 52 小节:  . . . .  |  . . . .  |  . . . 1'  |  . . . .
第 53 小节:  . 3' . .  |  . . . .  |  1' . . .  |  . . . 4
第 54 小节:  . . . .  |  . 6' . .  |  . . . .  |  . . . .
第 55 小节:  . . . 1'  |  . . . .  |  . . 3' .  |  . . . .
第 56 小节:  1' . . .  |  . . . 6  |  . . . .  |  . . [46'] .
第 57 小节:  . . . .  |  . . . .  |  . . . 1'  |  . . . .
第 58 小节:  . . 3' .  |  . . . .  |  . 1' . .  |  . . . 4
第 59 小节:  . . . .  |  . . [57'] .  |  . . . .  |  . . . .
第 60 小节:  . . . .  |  [31''] . . .  |  . . . .  |  . . . .
第 61 小节:  . [57'] . .  |  . . . .  |  . . . .  |  . . [66'] .
第 62 小节:  . . . .  |  . . . .  |  . . . .  |  1' . . .
第 63 小节:  . . . 3'  |  . . . .  |  . 1' . .  |  . . . .
第 64 小节:  6 . . .  |  . . . 6'  |  . . . .  |  . . . .
第 65 小节:  . . . .  |  1' . . .  |  . . . 3'  |  . . . .
第 66 小节:  . . 1' .  |  . . . .  |  6 . . .  |  . . . [57']
第 67 小节:  . . . .  |  . . . .  |  . . . .  |  . 1' . .
第 68 小节:  . . . 3'  |  . . . .  |  . . 1' .  |  . . . .
第 69 小节:  . 5 . .  |  . . . 7'  |  . . . .  |  . . . .
第 70 小节:  . . . .  |  . [1'1''] . .  |  . . . .  |  3' . . .
第 71 小节:  . . [57'] .  |  . . . .  |  . 1' . .  |  . . . .
第 72 小节:  [46'] . . .  |  . . . .  |  . . . .  |  . 1' . .
第 73 小节:  . . . .  |  3' . . .  |  . . . 1'  |  . . . .
第 74 小节:  . 4 . .  |  . . . .  |  6' . . .  |  . . . .
第 75 小节:  . . . .  |  . 1' . .  |  . . . .  |  3' . . .
第 76 小节:  . . . 1'  |  . . . .  |  . . 6 .  |  . . . .
第 77 小节:  [46'] . . .  |  . . . .  |  . . . .  |  . . 1' .
第 78 小节:  . . . .  |  . 3' . .  |  . . . 1'  |  . . . .
第 79 小节:  . . 4 .  |  . . . .  |  . [57'] . .  |  . . . .
第 80 小节:  . . . .  |  . . [31''] .  |  . . . .  |  . . . .
第 81 小节:  . . . .  |  [57'] . . .  |  . . . .  |  . . . .
第 82 小节:  . [66'] . .  |  . . . .  |  . . . .  |  . . 1' .
第 83 小节:  . . . .  |  . 3' . .  |  . . . .  |  1' . . .
第 84 小节:  . . . 6  |  . . . .  |  . 6' . .  |  . . . .
第 85 小节:  . . . .  |  . . . 1'  |  . . . .  |  . 3' . .
第 86 小节:  . . . .  |  1' . . .  |  . . . 6  |  . . . .
第 87 小节:  . . [57'] .  |  . . . .  |  . . . .  |  . . . 1'
第 88 小节:  . . . .  |  . . 3' .  |  . . . .  |  . 1' . .
第 89 小节:  . . . 5  |  . . . .  |  . . 7' .  |  . . . .
第 90 小节:  . . . .  |  . . . [1'1'']  |  . . . .  |  . . 3' .
第 91 小节:  . . . .  |  . [57'] . .  |  . . . .  |  1' . . .
第 92 小节:  . . [46'] .  |  . . . .  |  . . . .  |  . . . .
第 93 小节:  1' . . .  |  . . 3' .  |  . . . .  |  . 1' . .
第 94 小节:  . . . .  |  4 . . .  |  . . . 6'  |  . . . .
第 95 小节:  . . . .  |  . . . .  |  1' . . .  |  . . . 3'
第 96 小节:  . . . .  |  . 1' . .  |  . . . .  |  6 . . .
第 97 小节:  . . . [46']  |  . . . .  |  . . . .  |  . . . .
第 98 小节:  1' . . .  |  . . . 3'  |  . . . .  |  . . 1' .
第 99 小节:  . . . .  |  . 4 . .  |  . . . [57']  |  . . . .
第 100 小节:  . . . .  |  . . . .  |  . [31''] . .  |  . . . .
第 101 小节:  . . . .  |  . . [57'] .  |  . . . .  |  . . . .
第 102 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 103 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 104 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 105 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 106 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 107 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 108 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 109 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 110 小节:  . . . .  |  . . . [1'7']  |  . . . .  |  . . . .
第 111 小节:  . [1'1''] . .  |  . . . 3'  |  . . . .  |  . . [57'] .
第 112 小节:  . . . .  |  . 1' . .  |  . . . .  |  [46'] . . .
第 113 小节:  . . . .  |  . . . .  |  . 1' . .  |  . . . .
第 114 小节:  3' . . .  |  . . 1' .  |  . . . .  |  . 4 . .
第 115 小节:  . . . .  |  6' . . .  |  . . . .  |  . . . .
第 116 小节:  . 1' . .  |  . . . .  |  3' . . .  |  . . . 1'
第 117 小节:  . . . .  |  . 6 . .  |  . . . .  |  [46'] . . .
第 118 小节:  . . . .  |  . . . .  |  . . 1' .  |  . . . .
第 119 小节:  3' . . .  |  . . . 1'  |  . . . .  |  . . 4 .
第 120 小节:  . . . .  |  . [57'] . .  |  . . . .  |  . . . .
第 121 小节:  . . [33'] .  |  . . . .  |  . . . .  |  . . . [57']
第 122 小节:  . . . .  |  . . . .  |  . . . .  |  . [66'] . .
第 123 小节:  . . . .  |  . . . .  |  . . 1' .  |  . . . .
第 124 小节:  . 3' . .  |  . . . .  |  1' . . .  |  . . 6 .
第 125 小节:  . . . .  |  . 6' . .  |  . . . .  |  . . . .
第 126 小节:  . . . 1'  |  . . . .  |  . 3' . .  |  . . . .
第 127 小节:  1' . . .  |  . . . 6  |  . . . .  |  . [57'] . .
第 128 小节:  . . . .  |  . . . .  |  . . . 1'  |  . . . .
第 129 小节:  . . 3' .  |  . . . .  |  1' . . .  |  . . . 5
第 130 小节:  . . . .  |  . . 7' .  |  . . . .  |  . . . .
第 131 小节:  . . . [1'1'']  |  . . . .  |  . . 3' .  |  . . . .
第 132 小节:  . [57'] . .  |  . . . 1'  |  . . . .  |  . . [46'] .
第 133 小节:  . . . .  |  . . . .  |  . . . .  |  1' . . .
第 134 小节:  . . 3' .  |  . . . .  |  . 1' . .  |  . . . .
第 135 小节:  4 . . .  |  . . 6' .  |  . . . .  |  . . . .
第 136 小节:  . . . .  |  1' . . .  |  . . . 3'  |  . . . .
第 137 小节:  . 1' . .  |  . . . .  |  6 . . .  |  . . . [46']
第 138 小节:  . . . .  |  . . . .  |  . . . .  |  1' . . .
第 139 小节:  . . . 3'  |  . . . .  |  . . 1' .  |  . . . .
第 140 小节:  6 . . .  |  . . . [57']  |  . . . .  |  . . . .
第 141 小节:  . . . .  |  . [33'] . .  |  . . . .  |  . . . .
第 142 小节:  . . [57'] .  |  . . . .  |  . . . .  |  . . . [66']
第 143 小节:  . . . .  |  . . . .  |  . . . .  |  . 1' . .
第 144 小节:  . . . .  |  3' . . .  |  . . 1' .  |  . . . .
第 145 小节:  . 6 . .  |  . . . .  |  6' . . .  |  . . . .
第 146 小节:  . . . .  |  . 1' . .  |  . . . .  |  3' . . .
第 147 小节:  . . . 1'  |  . . . .  |  . 6 . .  |  . . . .
第 148 小节:  [57'] . . .  |  . . . .  |  . . . .  |  . 1' . .
第 149 小节:  . . . .  |  3' . . .  |  . . . 1'  |  . . . .
第 150 小节:  . . 5 .  |  . . . .  |  7' . . .  |  . . . .
第 151 小节:  . . . .  |  . . [1'1''] .  |  . . . .  |  . 3' . .
第 152 小节:  . . . [57']  |  . . . .  |  . . 1' .  |  . . . .
第 153 小节:  . [46'] . .  |  . . . .  |  . . . .  |  . . 1' .
第 154 小节:  . . . .  |  . 3' . .  |  . . . .  |  1' . . .
第 155 小节:  . . 4 .  |  . . . .  |  . 6' . .  |  . . . .
第 156 小节:  . . . .  |  . . 1' .  |  . . . .  |  . 3' . .
第 157 小节:  . . . .  |  1' . . .  |  . . . 6  |  . . . .
第 158 小节:  . [46'] . .  |  . . . .  |  . . . .  |  . . . 1'
第 159 小节:  . . . .  |  . 3' . .  |  . . . .  |  1' . . .
第 160 小节:  . . . 4  |  . . . .  |  . . [46'] .  |  . . . .
第 161 小节:  . . . .  |  . . . [31'']  |  . . . .  |  . . . .
第 162 小节:  . . . .  |  . [57'] . .  |  . . . .  |  . . . .
第 163 小节:  . . [66'] .  |  . . . .  |  . . . .  |  . . . .

============================================================
                    简谱生成完毕，祝演奏愉快！
============================================================
